[I 170911 15:13:17 writedosshell:179] 
    
    This is the standard passed in EDIFACT_D08B
    
    
[I 170911 15:15:01 writedosshell:67] 116 FACT_JOBMOD_D08B.dic
[I 170911 15:15:01 writedosshell:67] 117 FACT_JOBOFF_D08B.dic
[I 170911 15:15:01 writedosshell:67] 118 FACT_JUPREQ_D08B.dic
[I 170911 15:15:01 writedosshell:67] 119 FACT_LEDGER_D08B.dic
[I 170911 15:15:01 writedosshell:67] 120 FACT_LREACT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 121 FACT_LRECLM_D08B.dic
[I 170911 15:15:01 writedosshell:67] 122 FACT_MEDPID_D08B.dic
[I 170911 15:15:01 writedosshell:67] 123 FACT_MEDPRE_D08B.dic
[I 170911 15:15:01 writedosshell:67] 124 FACT_MEDREQ_D08B.dic
[I 170911 15:15:01 writedosshell:67] 125 FACT_MEDRPT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 126 FACT_MEDRUC_D08B.dic
[I 170911 15:15:01 writedosshell:67] 127 FACT_MEQPOS_D08B.dic
[I 170911 15:15:01 writedosshell:67] 128 FACT_MOVINS_D08B.dic
[I 170911 15:15:01 writedosshell:67] 129 FACT_MSCONS_D08B.dic
[I 170911 15:15:01 writedosshell:67] 130 FACT_ORDCHG_D08B.dic
[I 170911 15:15:01 writedosshell:67] 131 FACT_ORDERS_D08B.dic
[I 170911 15:15:01 writedosshell:67] 132 FACT_ORDRSP_D08B.dic
[I 170911 15:15:01 writedosshell:67] 133 FACT_OSTENQ_D08B.dic
[I 170911 15:15:01 writedosshell:67] 134 FACT_OSTRPT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 135 FACT_PARTIN_D08B.dic
[I 170911 15:15:01 writedosshell:67] 136 FACT_PAXLST_D08B.dic
[I 170911 15:15:01 writedosshell:67] 137 FACT_PAYDUC_D08B.dic
[I 170911 15:15:01 writedosshell:67] 138 FACT_PAYEXT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 139 FACT_PAYMUL_D08B.dic
[I 170911 15:15:01 writedosshell:67] 140 FACT_PAYORD_D08B.dic
[I 170911 15:15:01 writedosshell:67] 141 FACT_PRICAT_D08B.dic
[I 170911 15:15:01 writedosshell:67] 142 FACT_PRIHIS_D08B.dic
[I 170911 15:15:01 writedosshell:67] 143 FACT_PROCST_D08B.dic
[I 170911 15:15:01 writedosshell:67] 144 FACT_PRODAT_D08B.dic
